RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2651094	-3659553	65.93598	-17.419083	65:56:10N	17:25:09W	28WCU8995314896	NQ27-11	S	FRM		IC	40				N				NUPAR	Núpar	Nupar	NUPAR	Núpar	Nupar		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647053	-3655116	65.783164	-17.438096	65:46:59N	17:26:17W	28WCT8842797907	NQ27-11	S	FRM		IC	40				N				HOSKULDSSTADHIR	Höskuldsstaðir	Hoskuldsstadhir	HOSKULDSSTADHIR	Höskuldsstaðir	Hoskuldsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647007	-3655058	65.544107	-17.292418	65:32:39N	17:17:33W	28WCT9412071025	NQ27-11	S	FRM		IC	40				N				HORGSDALUR	Hörgsdalur	Horgsdalur	HORGSDALUR	Hörgsdalur	Horgsdalur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646970	-3655019	65.906777	-17.31399	65:54:24N	17:18:50W	28WCU9461211462	NQ27-11	S	FRM		IC	40				N				HOLTAKOT	Holtakot	Holtakot	HOLTAKOT	Holtakot	Holtakot		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646969	-3655018	65.700558	-17.577324	65:42:02N	17:34:38W	28WCT8168188960	NQ27-11	S	FRM		IC	40				N				HOLTAKOT	Holtakot	Holtakot	HOLTAKOT	Holtakot	Holtakot		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646925	-3654970	65.808748	-17.548539	65:48:31N	17:32:55W	28WCU8349100957	NQ27-11	S	FRM		IC	40				N				HOLSGERDHI	Hólsgerði	Holsgerdhi	HOLSGERDHI	Hólsgerði	Holsgerdhi		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643010	-3650657	65.796802	-17.915869	65:47:48N	17:54:57W	28WCU6664500357	NQ27-11	S	FRM		IC	40				N				DAELI	Dæli	Daeli	DAELI	Dæli	Daeli		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643002	-3650648	65.699211	-17.365094	65:41:57N	17:21:54W	28WCT9141488427	NQ27-11	S	FRM		IC	40				N				DADHASTADHIR	Daðastaðir	Dadhastadhir	DADHASTADHIR	Daðastaðir	Dadhastadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642813	-3650441	65.650234	-17.8673	65:39:01N	17:52:02W	28WCT6812083932	NQ27-11	S	FRM		IC	40				N				BRUNAGERDHI	Brúnagerði	Brunagerdhi	BRUNAGERDHI	Brúnagerði	Brunagerdhi		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642812	-3650440	65.664508	-17.303155	65:39:52N	17:18:11W	28WCT9411584455	NQ27-11	S	FRM		IC	40				N				BRUN	Brún	Brun	BRUN	Brún	Brun		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642789	-3650415	65.818968	-17.318633	65:49:08N	17:19:07W	28WCU9403901688	NQ27-11	S	FRM		IC	40				N				BRUAR	Brúar	Bruar	BRUAR	Brúar	Bruar		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650980	-3659414	65.870054	-18.07703	65:52:12N	18:04:37W	27WXP3330008530	NQ27-11	S	FRM		IC	40				N				NOLLUR	Nollur	Nollur	NOLLUR	Nollur	Nollur		2011-02-09	1,2,3,4,5	1			1993-09-01		
